#{"t_start": 1761551239.1125705, "env_id": "None"}
r,l,t
-235.201361,1753,2520.340656
-315.404202,1471,2522.87742
-117.421742,2700,2527.175418
42.151945,340,2537.584656
-334.063764,1485,2540.293299
-220.775244,795,2541.942369
-239.827207,1510,2544.589496
30.190847,340,2545.693803
74.0,340,2546.776191
-228.92409,1206,2548.967697
-164.777868,974,2550.857299
6.687622,410,2552.074788
-170.859779,2045,2563.136721
-236.751212,975,2564.675818
16.569306,340,2565.377793
-170.419072,1137,2566.519331
-95.976229,1626,2567.904341
-99.231401,2700,2569.91998
-61.132295,1989,2574.151361
-190.779275,807,2575.119884
-240.717073,917,2576.10852
-11.535241,340,2576.763119
-221.134499,1713,2578.183892
-221.057304,813,2579.111479
-246.315484,1539,2580.432976
-304.051522,799,2583.668956
4.154206,414,2584.358013
-227.660928,1904,2585.87933
-300.683448,2260,2587.56528
-170.124238,1540,2588.912968
-370.314753,2265,2592.945184
-180.222276,970,2593.946753
-346.667257,1336,2595.154564
-434.224833,2572,2597.051555
-240.670586,1871,2598.542916
-252.248426,1579,2602.132167
-177.56568,1634,2603.518496
-57.36141,2700,2605.515068
-202.677642,860,2606.416523
17.501592,414,2607.113551
-288.661735,1441,2610.707733
-274.088561,1464,2612.019114
-230.185472,2051,2613.627793
-386.099823,1971,2615.175498
-236.576134,2217,2616.852883
12.072145,340,2617.492394
-263.046958,1779,2621.273079
124.085729,340,2621.910657
34.139565,340,2622.551496
-156.068605,944,2623.541317
-277.793937,2290,2625.254371
-197.737122,1353,2626.445327
-364.40895,2420,2630.633224
-264.247,2700,2632.591835
-228.561459,1054,2633.65092
-206.12384,1320,2634.826637
-211.110575,1962,2639.04983
-249.548045,2010,2640.654316
-287.431591,1607,2642.029876
-218.321219,678,2642.862439
10.919369,443,2643.567118
-194.008855,1875,2645.044643
-347.337125,1391,2648.669849
-469.786246,2495,2650.517679
-417.60517,1928,2652.038544
-233.246411,2700,2654.005517
-255.930766,1286,2657.561532
-231.125038,2368,2659.334495
-230.806186,2427,2661.160589
53.202631,340,2661.78915
23.361957,441,2662.469722
-254.454414,1065,2663.542075
74.0,425,2664.217626
-238.899747,830,2667.444378
-373.122109,2432,2669.251188
-219.099915,826,2670.171285
-134.831308,2700,2672.109092
-331.552441,1847,2673.584544
-383.559728,2040,2677.441521
-181.773236,1352,2678.651609
-174.923507,1189,2679.756115
-279.446003,2199,2681.447088
-354.757845,1806,2685.197449
-15.07988,419,2685.871297
-224.391873,1029,2686.938277
-334.106279,1619,2688.321379
-282.101662,1052,2689.374453
-215.887158,1690,2690.760749
-358.923657,1719,2692.141419
-208.826914,2457,2696.335685
-259.862618,1575,2697.679042
-237.185564,1053,2698.744832
-244.85252,2192,2700.438566
-231.20818,1130,2703.869965
-157.109998,1401,2705.070199
-276.768087,1158,2706.145625
-343.473691,2190,2707.812104
-176.958332,1990,2709.357743
7.3237,414,2710.033813
-333.596464,2330,2714.032936
18.071529,340,2714.686851
-68.808318,2601,2716.537763
-212.060363,939,2717.530686
-606.238699,2700,2721.760623
1.596765,419,2722.430741
74.0,426,2723.110123
-222.939021,1612,2724.44074
-282.917022,1645,2725.812179
-180.70783,2484,2727.617229
-203.437703,1334,2728.823853
-267.362518,2700,2733.401389
-257.402014,1356,2734.606738
-333.901435,2140,2736.224425
-194.630779,924,2737.175943
-231.249226,1886,2740.987746
57.302209,414,2741.672993
-394.509581,2149,2743.285906
-256.756436,1294,2744.447032
-371.104351,2217,2746.169688
-266.166959,1448,2749.921434
-322.069857,1332,2751.119748
82.618806,340,2751.772261
-322.96645,1127,2752.857804
-309.876052,1717,2754.457318
-169.404184,1110,2755.657979
46.527817,340,2756.362753
-350.898779,2426,2760.787461
-447.986716,2167,2762.354549
-235.911325,1677,2763.741468
-310.572717,1451,2765.064325
-361.04344,1931,2766.674942
-326.59861,2700,2771.613223
-191.305554,1593,2772.914612
-233.766687,1070,2773.931834
-287.14909,1013,2774.900543
-332.5621,1129,2775.937488
32.906138,414,2776.591517
-58.364845,410,2777.266829
-227.13522,2666,2781.389796
74.0,340,2782.009771
-377.081349,2472,2783.855442
-244.193948,1496,2785.09247
-353.955186,2322,2789.149892
17.362988,340,2789.789433
-225.70937,2163,2791.413974
-267.616291,2700,2793.304662
-232.231409,2295,2797.199655
-179.745781,1949,2798.693334
-331.129483,2434,2800.442264
-262.029443,1166,2801.484542
-277.734855,2700,2805.5953
-326.213215,2130,2807.145783
-229.396028,2700,2809.134028
-268.350182,1110,2810.179745
-0.793873,414,2810.8309
-226.463397,1973,2814.603204
-273.8803,813,2815.467923
-405.449316,1840,2816.91737
-175.152726,2202,2818.622288
54.259342,340,2819.247663
0.999829,340,2819.862937
-184.292748,1115,2820.87166
-221.224529,2700,2824.995735
-218.604459,1247,2826.10271
50.899931,420,2826.767279
-230.938178,1601,2828.096182
-333.63832,2158,2829.703117
-403.317489,2432,2833.690744
-428.479543,2698,2835.557077
73.755853,414,2836.209561
-195.371497,2184,2837.788518
-239.681258,1507,2841.29949
-299.284778,1070,2842.297935
-360.708062,1931,2843.754641
-183.718967,1128,2844.819316
-251.574113,1812,2846.280835
-435.270732,2276,2850.244706
-278.079991,2606,2852.056064
-201.593025,1088,2853.082837
-203.596839,1809,2854.499196
-403.579434,1775,2855.870098
-283.5327,1319,2859.264299
-281.746585,2700,2861.128277
-437.464858,2646,2862.962972
-213.654497,789,2863.845688
20.591148,426,2864.503939
-305.573051,2052,2868.393095
166.225655,2700,2870.311492
-354.144739,2612,2872.132139
-221.674882,1191,2875.424555
-238.097721,943,2876.345414
-239.822535,2700,2878.236755
-28.364943,448,2878.906066
-274.144411,1095,2879.918687
-257.941218,684,2880.75475
-191.854675,1738,2882.11953
-141.26895,2700,2886.237029
-86.561896,2700,2888.119355
-360.565513,1648,2889.42931
-251.905445,1218,2890.534556
75.239593,416,2893.464113
-353.232536,2497,2895.231575
-135.569548,1072,2896.265487
-215.049817,1994,2897.778514
-270.175971,2261,2899.454279
-75.609906,2700,2903.599064
49.531148,414,2904.248675
-188.326441,1554,2905.527732
-287.452288,1320,2906.71368
-249.749569,2074,2908.262351
-292.847936,2700,2912.446954
-262.873845,1593,2913.776673
-226.082657,897,2914.709818
-65.727091,1336,2915.843053
63.215399,414,2916.49529
-162.835593,2097,2920.326304
-66.671805,2700,2922.265963
-189.709531,1047,2923.279245
-349.715037,2252,2924.90443
-254.612795,1824,2928.555244
-65.888797,425,2929.208062
29.88686,445,2929.872886
8.381916,340,2930.486396
-419.731119,2048,2932.012946
-249.368345,901,2932.974705
-199.071434,1516,2934.24119
-265.165035,1273,2935.375783
-215.899571,1558,2939.101098
-267.10766,1128,2940.164569
-429.815953,2299,2941.839082
81.230766,340,2942.459808
-293.921152,2700,2944.411022
-255.951461,1687,2948.056026
-217.71107,2700,2949.965944
50.052222,414,2950.609593
-362.783555,1993,2952.110971
-501.778438,1992,2953.598946
-255.473386,1095,2956.86913
-171.8642,1464,2958.122301
-187.894947,2020,2959.657764
-94.389139,1288,2960.812471
-240.61418,1400,2962.007688
-441.620423,2679,2966.140105
-161.448078,1053,2967.184938
-49.930895,2418,2968.977559
-83.801615,2700,2970.862771
-270.518506,1436,2974.440994
82.60888,414,2975.093691
-260.070645,1048,2976.12997
67.172913,340,2976.747697
1.538375,414,2977.39407
-383.455244,2700,2979.273377
-195.34516,1145,2980.320862
-244.4113,2263,2984.28232
-144.5288,906,2985.193917
-233.108747,1499,2986.437782
-221.965087,1217,2987.530903
-155.763009,1120,2988.583549
-254.096114,1803,2989.973677
42.568719,414,2992.945918
-339.451383,1900,2994.430485
-263.12788,1615,2995.74419
-312.229465,1427,2996.969073
-286.699671,1211,2998.060011
-250.295953,1535,2999.340134
-219.153332,1036,3002.757879
-197.409309,797,3003.655977
-170.287575,1149,3004.714431
-159.673801,1114,3005.745134
-252.850692,2673,3007.587386
-201.845974,1896,3011.371547
